Time,Error,P,I-Accumulator,D,Output
1611013493857,2.8173638023965433,5.6347276047930865,0,0,1
1611013493857,2.8162501670453026,5.632500334090605,0,0,1
1611013493858,2.8162501670453026,5.632500334090605,0,0,1
1611013493858,2.815136531694062,5.630273063388124,0,0,1
1611013493858,2.8140228963428213,5.628045792685643,0,0,1
1611013493859,2.8140228963428213,5.628045792685643,0,0,1
1611013493859,2.812909260991581,5.625818521983162,0,0,1
1611013493860,2.8117956256403405,5.623591251280681,0,0,1
1611013493860,2.8117956256403405,5.623591251280681,0,0,1
1611013493861,2.8106819902891,5.6213639805782,0,0,1
1611013493861,2.809568354937859,5.619136709875718,0,0,1
1611013493862,2.809568354937859,5.619136709875718,0,0,1
1611013493862,2.8084547195866185,5.616909439173237,0,0,1
1611013493862,2.807341084235378,5.614682168470756,0,0,1
1611013493863,2.806227448884137,5.612454897768274,0,0,1
1611013493863,2.806227448884137,5.612454897768274,0,0,1
1611013493864,2.8051138135328966,5.610227627065793,0,0,1
1611013493864,2.8040001781816564,5.608000356363313,0,0,1
1611013493865,2.8040001781816564,5.608000356363313,0,0,1
1611013493865,2.8028865428304157,5.605773085660831,0,0,1
1611013493865,2.801772907479175,5.60354581495835,0,0,1
1611013493866,2.801772907479175,5.60354581495835,0,0,1
1611013493866,2.8006592721279344,5.601318544255869,0,0,1
1611013493867,2.7995456367766938,5.5990912735533875,0,0,1
1611013493867,2.798432001425453,5.596864002850906,0,0,1
1611013493868,2.798432001425453,5.596864002850906,0,0,1
1611013493868,2.7973183660742125,5.594636732148425,0,0,1
1611013493868,2.7962047307229723,5.5924094614459445,0,0,1
1611013493869,2.7962047307229723,5.5924094614459445,0,0,1
1611013493869,2.7950910953717316,5.590182190743463,0,0,1
1611013493870,2.793977460020491,5.587954920040982,0,0,1
1611013493870,2.793977460020491,5.587954920040982,0,0,1
1611013493871,2.7928638246692503,5.585727649338501,0,0,1
1611013493871,2.7917501893180097,5.583500378636019,0,0,1
1611013493871,2.790636553966769,5.581273107933538,0,0,1
1611013493872,2.790636553966769,5.581273107933538,0,0,1
1611013493872,2.7895229186155284,5.579045837231057,0,0,1
1611013493873,2.788409283264288,5.576818566528576,0,0,1
1611013493873,2.788409283264288,5.576818566528576,0,0,1
1611013493874,2.7872956479130475,5.574591295826095,0,0,1
1611013493874,2.786182012561807,5.572364025123614,0,0,1
1611013493875,2.785068377210566,5.570136754421132,0,0,1
1611013493875,2.785068377210566,5.570136754421132,0,0,1
1611013493875,2.7839547418593256,5.567909483718651,0,0,1
1611013493876,2.782841106508085,5.56568221301617,0,0,1
1611013493876,2.782841106508085,5.56568221301617,0,0,1
1611013493877,2.7817274711568443,5.5634549423136885,0,0,1
1611013493877,2.7806138358056036,5.561227671611207,0,0,1
1611013493878,2.7806138358056036,5.561227671611207,0,0,1
1611013493878,2.7795002004543634,5.559000400908727,0,0,1
1611013493878,2.7783865651031228,5.5567731302062455,0,0,1
1611013493879,2.777272929751882,5.554545859503764,0,0,1
1611013493879,2.777272929751882,5.554545859503764,0,0,1
1611013493880,2.7761592944006415,5.552318588801283,0,0,1
1611013493880,2.775045659049401,5.550091318098802,0,0,1
1611013493881,2.775045659049401,5.550091318098802,0,0,1
1611013493881,2.77393202369816,5.54786404739632,0,0,1
1611013493881,2.7728183883469195,5.545636776693839,0,0,1
1611013493882,2.7717047529956793,5.543409505991359,0,0,1
1611013493882,2.7717047529956793,5.543409505991359,0,0,1
1611013493883,2.7705911176444387,5.541182235288877,0,0,1
1611013493883,2.769477482293198,5.538954964586396,0,0,1
1611013493884,2.769477482293198,5.538954964586396,0,0,1
1611013493884,2.7683638469419574,5.536727693883915,0,0,1
1611013493884,2.7672502115907167,5.534500423181433,0,0,1
1611013493885,2.7672502115907167,5.534500423181433,0,0,1
1611013493885,2.766136576239476,5.532273152478952,0,0,1
1611013493886,2.7650229408882354,5.530045881776471,0,0,1
1611013493886,2.7639093055369948,5.5278186110739895,0,0,1
1611013493887,2.7639093055369948,5.5278186110739895,0,0,1
1611013493887,2.7627956701857546,5.525591340371509,0,0,1
1611013493888,2.761682034834514,5.523364069669028,0,0,1
1611013493888,2.761682034834514,5.523364069669028,0,0,1
1611013493888,2.7605683994832733,5.5211367989665465,0,0,1
1611013493889,2.7594547641320326,5.518909528264065,0,0,1
1611013493889,2.758341128780792,5.516682257561584,0,0,1
1611013493890,2.758341128780792,5.516682257561584,0,0,1
1611013493890,2.7572274934295513,5.514454986859103,0,0,1
1611013493891,2.7561138580783107,5.512227716156621,0,0,1
1611013493891,2.7561138580783107,5.512227716156621,0,0,1
1611013493891,2.7550002227270705,5.510000445454141,0,0,1
1611013493892,2.75388658737583,5.50777317475166,0,0,1
1611013493892,2.752772952024589,5.505545904049178,0,0,1
1611013493893,2.752772952024589,5.505545904049178,0,0,1
1611013493893,2.7516593166733485,5.503318633346697,0,0,1
1611013493894,2.750545681322108,5.501091362644216,0,0,1
1611013493894,2.749432045970867,5.498864091941734,0,0,1
1611013493894,2.749432045970867,5.498864091941734,0,0,1
1611013493895,2.7483184106196266,5.496636821239253,0,0,1
1611013493895,2.7472047752683864,5.494409550536773,0,0,1
1611013493896,2.7472047752683864,5.494409550536773,0,0,1
1611013493896,2.7460911399171457,5.492182279834291,0,0,1
1611013493897,2.744977504565905,5.48995500913181,0,0,1
1611013493897,2.7438638692146644,5.487727738429329,0,0,1
1611013493897,2.7438638692146644,5.487727738429329,0,0,1
1611013493898,2.7427502338634238,5.4855004677268475,0,0,1
1611013493898,2.741636598512183,5.483273197024366,0,0,1
1611013493899,2.741636598512183,5.483273197024366,0,0,1
1611013493899,2.7405229631609425,5.481045926321885,0,0,1
1611013493900,2.739409327809702,5.478818655619404,0,0,1
1611013493900,2.7382956924584616,5.476591384916923,0,0,1
1611013493900,2.7382956924584616,5.476591384916923,0,0,1
1611013493901,2.737182057107221,5.474364114214442,0,0,1
1611013493901,2.7360684217559803,5.472136843511961,0,0,1
1611013493902,2.7360684217559803,5.472136843511961,0,0,1
1611013493902,2.7349547864047397,5.469909572809479,0,0,1
1611013493903,2.733841151053499,5.467682302106998,0,0,1
