Time,Error,P,I-Accumulator,D,Output,Input,Target
1625129014830,0,0,0,0,0,0,0
1625129014841,0,0,0,0,0,0,0
1625129014852,0,0,0,0,0,0,0
1625129014862,0,0,0,0,0,0,0
1625129014873,0,0,0,0,0,0,0
1625129014884,0,0,0,0,0,0,0
1625129014895,0,0,0,0,0,0,0
1625129014905,0,0,0,0,0,0,0
1625129014916,0,0,0,0,0,0,0
1625129014927,0,0,0,0,0,0,0
1625129014937,0,0,0,0,0,0,0
1625129014948,0,0,0,0,0,0,0
1625129014959,0,0,0,0,0,0,0
1625129014970,0,0,0,0,0,0,0
1625129014980,0,0,0,0,0,0,0
1625129014991,0,0,0,0,0,0,0
1625129015002,0,0,0,0,0,0,0
1625129015012,0,0,0,0,0,0,0
1625129015023,0,0,0,0,0,0,0
1625129015034,0,0,0,0,0,0,0
1625129015045,0,0,0,0,0,0,0
1625129015055,0,0,0,0,0,0,0
1625129015066,0,0,0,0,0,0,0
1625129015077,0,0,0,0,0,0,0
1625129015088,0,0,0,0,0,0,0
1625129015098,0,0,0,0,0,0,0
1625129015109,0,0,0,0,0,0,0
1625129015120,0,0,0,0,0,0,0
1625129015130,0,0,0,0,0,0,0
1625129015141,0,0,0,0,0,0,0
1625129015152,0,0,0,0,0,0,0
1625129015163,0,0,0,0,0,0,0
1625129015173,0,0,0,0,0,0,0
1625129015184,0,0,0,0,0,0,0
1625129015195,0,0,0,0,0,0,0
1625129015206,0,0,0,0,0,0,0
1625129015216,0,0,0,0,0,0,0
1625129015227,0,0,0,0,0,0,0
1625129015238,0,0,0,0,0,0,0
1625129015249,0,0,0,0,0,0,0
1625129015259,0,0,0,0,0,0,0
1625129015270,0,0,0,0,0,0,0
1625129015281,0,0,0,0,0,0,0
1625129015292,0,0,0,0,0,0,0
1625129015303,0,0,0,0,0,0,0
1625129015313,0,0,0,0,0,0,0
1625129015324,0,0,0,0,0,0,0
1625129015335,0,0,0,0,0,0,0
1625129015345,0,0,0,0,0,0,0
1625129015356,0,0,0,0,0,0,0
1625129015367,0,0,0,0,0,0,0
1625129015378,0,0,0,0,0,0,0
1625129015389,0,0,0,0,0,0,0
1625129015399,0,0,0,0,0,0,0
1625129015410,0,0,0,0,0,0,0
1625129015421,0,0,0,0,0,0,0
1625129015432,0,0,0,0,0,0,0
1625129015442,0,0,0,0,0,0,0
1625129015453,0,0,0,0,0,0,0
1625129015464,0,0,0,0,0,0,0
1625129015475,0,0,0,0,0,0,0
1625129015485,0,0,0,0,0,0,0
1625129015496,0,0,0,0,0,0,0
1625129015507,0,0,0,0,0,0,0
1625129015518,0,0,0,0,0,0,0
1625129015528,0,0,0,0,0,0,0
1625129015539,0,0,0,0,0,0,0
1625129015550,0,0,0,0,0,0,0
1625129015561,0,0,0,0,0,0,0
1625129015571,0,0,0,0,0,0,0
1625129015582,0,0,0,0,0,0,0
1625129015593,0,0,0,0,0,0,0
1625129015604,0,0,0,0,0,0,0
1625129015614,0,0,0,0,0,0,0
1625129015625,0,0,0,0,0,0,0
1625129015636,0,0,0,0,0,0,0
1625129015647,0,0,0,0,0,0,0
1625129015657,0,0,0,0,0,0,0
1625129015668,0,0,0,0,0,0,0
1625129015679,0,0,0,0,0,0,0
1625129015690,0,0,0,0,0,0,0
1625129015700,0,0,0,0,0,0,0
1625129015711,0,0,0,0,0,0,0
1625129015722,0,0,0,0,0,0,0
1625129015733,0,0,0,0,0,0,0
1625129015743,0,0,0,0,0,0,0
1625129015754,0,0,0,0,0,0,0
1625129015765,0,0,0,0,0,0,0
1625129015776,0,0,0,0,0,0,0
1625129015786,0,0,0,0,0,0,0
1625129015797,0,0,0,0,0,0,0
1625129015808,0,0,0,0,0,0,0
1625129015819,0,0,0,0,0,0,0
1625129015829,0,0,0,0,0,0,0
1625129015840,0,0,0,0,0,0,0
1625129015851,0,0,0,0,0,0,0
1625129015862,0,0,0,0,0,0,0
1625129015872,0,0,0,0,0,0,0
1625129015883,0,0,0,0,0,0,0
1625129015894,0,0,0,0,0,0,0
1625129015905,0,0,0,0,0,0,0
1625129015915,0,0,0,0,0,0,0
1625129015926,0,0,0,0,0,0,0
1625129015937,0,0,0,0,0,0,0
1625129015948,0,0,0,0,0,0,0
1625129015958,0,0,0,0,0,0,0
1625129015969,0,0,0,0,0,0,0
1625129015980,0,0,0,0,0,0,0
1625129015991,0,0,0,0,0,0,0
1625129016001,0,0,0,0,0,0,0
1625129016012,0,0,0,0,0,0,0
1625129016023,0,0,0,0,0,0,0
1625129016034,0,0,0,0,0,0,0
1625129016044,0,0,0,0,0,0,0
1625129016055,0,0,0,0,0,0,0
1625129016066,0,0,0,0,0,0,0
1625129016076,0,0,0,0,0,0,0
1625129016087,0,0,0,0,0,0,0
1625129016098,0,0,0,0,0,0,0
1625129016109,0,0,0,0,0,0,0
1625129016120,0,0,0,0,0,0,0
1625129016130,0,0,0,0,0,0,0
1625129016141,0,0,0,0,0,0,0
1625129016152,0,0,0,0,0,0,0
1625129016163,0,0,0,0,0,0,0
1625129016173,0,0,0,0,0,0,0
1625129016184,0,0,0,0,0,0,0
1625129016195,0,0,0,0,0,0,0
1625129016326,0,0,0,0,0,0,0
1625129016337,0,0,0,0,0,0,0
1625129016348,0,0,0,0,0,0,0
1625129016359,0,0,0,0,0,0,0
1625129016370,0,0,0,0,0,0,0
1625129016380,0,0,0,0,0,0,0
1625129016391,0,0,0,0,0,0,0
1625129016402,0,0,0,0,0,0,0
1625129016413,0,0,0,0,0,0,0
1625129016424,0,0,0,0,0,0,0
1625129016434,0,0,0,0,0,0,0
1625129016445,0,0,0,0,0,0,0
1625129016456,0,0,0,0,0,0,0
1625129016467,0,0,0,0,0,0,0
1625129016477,0,0,0,0,0,0,0
1625129016488,0,0,0,0,0,0,0
1625129016499,0,0,0,0,0,0,0
1625129016510,0,0,0,0,0,0,0
1625129016520,0,0,0,0,0,0,0
1625129016531,0,0,0,0,0,0,0
1625129016542,0,0,0,0,0,0,0
1625129016553,0,0,0,0,0,0,0
1625129016563,0,0,0,0,0,0,0
1625129016574,0,0,0,0,0,0,0
1625129016585,0,0,0,0,0,0,0
1625129016596,0,0,0,0,0,0,0
1625129016606,0,0,0,0,0,0,0
1625129016617,0,0,0,0,0,0,0
1625129016628,0,0,0,0,0,0,0
1625129016639,0,0,0,0,0,0,0
1625129016649,0,0,0,0,0,0,0
1625129016660,0,0,0,0,0,0,0
1625129016671,0,0,0,0,0,0,0
1625129016682,0,0,0,0,0,0,0
1625129016692,0,0,0,0,0,0,0
1625129016703,0,0,0,0,0,0,0
1625129016714,0,0,0,0,0,0,0
1625129016725,0,0,0,0,0,0,0
1625129016735,0,0,0,0,0,0,0
1625129016746,0,0,0,0,0,0,0
1625129016757,0,0,0,0,0,0,0
1625129016768,0,0,0,0,0,0,0
1625129016778,0,0,0,0,0,0,0
1625129016789,0,0,0,0,0,0,0
1625129016800,0,0,0,0,0,0,0
1625129016811,0,0,0,0,0,0,0
1625129016821,0,0,0,0,0,0,0
1625129016832,0,0,0,0,0,0,0
1625129016843,0,0,0,0,0,0,0
1625129016854,0,0,0,0,0,0,0
1625129016864,0,0,0,0,0,0,0
1625129016875,0,0,0,0,0,0,0
1625129016886,0,0,0,0,0,0,0
1625129016897,0,0,0,0,0,0,0
1625129016907,0,0,0,0,0,0,0
1625129016918,0,0,0,0,0,0,0
1625129016929,0,0,0,0,0,0,0
1625129016940,0,0,0,0,0,0,0
1625129016950,0,0,0,0,0,0,0
1625129016961,0,0,0,0,0,0,0
1625129016972,0,0,0,0,0,0,0
1625129016983,0,0,0,0,0,0,0
1625129016993,0,0,0,0,0,0,0
1625129017004,0,0,0,0,0,0,0
1625129017015,0,0,0,0,0,0,0
1625129017026,0,0,0,0,0,0,0
1625129017036,0,0,0,0,0,0,0
1625129017047,0,0,0,0,0,0,0
1625129017058,0,0,0,0,0,0,0
1625129017069,0,0,0,0,0,0,0
1625129017079,0,0,0,0,0,0,0
1625129017090,0,0,0,0,0,0,0
1625129017101,0,0,0,0,0,0,0
1625129017112,0,0,0,0,0,0,0
1625129017122,0,0,0,0,0,0,0
1625129017133,0,0,0,0,0,0,0
1625129017144,0,0,0,0,0,0,0
1625129017155,0,0,0,0,0,0,0
1625129017165,0,0,0,0,0,0,0
1625129017176,0,0,0,0,0,0,0
1625129017187,0,0,0,0,0,0,0
1625129017198,0,0,0,0,0,0,0
1625129017208,0,0,0,0,0,0,0
1625129017219,0,0,0,0,0,0,0
1625129017230,0,0,0,0,0,0,0
1625129017241,0,0,0,0,0,0,0
1625129017251,0,0,0,0,0,0,0
1625129017262,0,0,0,0,0,0,0
1625129017273,0,0,0,0,0,0,0
1625129017284,0,0,0,0,0,0,0
1625129017294,0,0,0,0,0,0,0
1625129017305,0,0,0,0,0,0,0
1625129017316,0,0,0,0,0,0,0
1625129017327,0,0,0,0,0,0,0
1625129017337,0,0,0,0,0,0,0
1625129017348,0,0,0,0,0,0,0
1625129017359,0,0,0,0,0,0,0
1625129017370,0,0,0,0,0,0,0
1625129017381,0,0,0,0,0,0,0
1625129017391,0,0,0,0,0,0,0
1625129017402,0,0,0,0,0,0,0
1625129017413,0,0,0,0,0,0,0
1625129017424,0,0,0,0,0,0,0
1625129017434,0,0,0,0,0,0,0
1625129017445,0,0,0,0,0,0,0
1625129017456,0,0,0,0,0,0,0
1625129017467,0,0,0,0,0,0,0
1625129017477,0,0,0,0,0,0,0
1625129017488,0,0,0,0,0,0,0
1625129017499,0,0,0,0,0,0,0
1625129017509,0,0,0,0,0,0,0
1625129017520,0,0,0,0,0,0,0
1625129017531,0,0,0,0,0,0,0
1625129017542,0,0,0,0,0,0,0
1625129017552,0,0,0,0,0,0,0
1625129017563,0,0,0,0,0,0,0
1625129017574,0,0,0,0,0,0,0
1625129017585,0,0,0,0,0,0,0
1625129017595,0,0,0,0,0,0,0
1625129017606,0,0,0,0,0,0,0
1625129017617,0,0,0,0,0,0,0
1625129017628,0,0,0,0,0,0,0
1625129017639,0,0,0,0,0,0,0
1625129017649,0,0,0,0,0,0,0
1625129017660,0,0,0,0,0,0,0
1625129017671,0,0,0,0,0,0,0
1625129017681,0,0,0,0,0,0,0
1625129017692,0,0,0,0,0,0,0
1625129017703,0,0,0,0,0,0,0
1625129017714,0,0,0,0,0,0,0
1625129017724,0,0,0,0,0,0,0
1625129017735,0,0,0,0,0,0,0
1625129017746,0,0,0,0,0,0,0
1625129017757,0,0,0,0,0,0,0
1625129017768,0,0,0,0,0,0,0
